"Event_ID","Company_name","Country","Currency","Ticker","Stock_exchange","Market_index","Event_date","Event_start","Event_end","Estimation_start","Estimation_end","Estimation_dates","FX_weighted","FX_weighted_pct_change","Market_return","World_return","Stock_return","Relative_trading_day"
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-12,84.3200076430621,0.169161097327629,0.0101483150103397,0.00896028606388921,-0.00840343405820862,-24
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-13,84.3783571765623,0.0692001046147654,-0.00419751554045208,-0.00031201707263226,0,-23
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-14,84.9809301358832,0.714132129949008,-0.00374694597373851,-0.00403687661762152,0.00847465022251995,-22
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-15,85.365124540337,0.452094845089903,-0.00170426014313755,-0.00575021877439033,0.0168066620943501,-21
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-18,85.6910046626533,0.381748546694021,-5.84299120503233e-05,0.0052452698905451,-0.0165288670116823,-20
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-19,85.8590840124934,0.196145850432932,-0.00350176527925628,0.00375665178795914,0.00840333104717495,-19
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-20,85.5356027277593,-0.376758369198337,-0.00331180982716035,0.00634177823225878,-0.00833330353882163,-18
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-21,85.8275348116476,0.341298914812679,0.00766540956223602,0.00579813698245044,0.00840333104717495,-17
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-22,86.3121140991219,0.564596534827338,0.00125233649604704,-0.00191283638406964,0,-16
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-25,86.0321312475443,-0.324384189287852,0.00701445400081638,-0.00231613829154174,-0.00833330353882163,-15
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-26,86.2775474241545,0.285261068221196,0.0052795846827425,-0.00172213158371778,0.00840333104717495,-14
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-03-27,86.5929023385646,0.365512145193217,0.00738064985783002,0.00664559835280543,0,-13
